id,type,UniprotID,Entrez_ID
OASL,Gene,Q15646,Q15646
PRKAR1A,Gene,P10644,P10644
F2RL3,Gene,Q96RI0,Q96RI0
CXCL8,Gene,P10145,P10145
AOC3,Gene,,
GBP6,Gene,Q6ZN66,Q6ZN66
PIK3CB,Gene,,
NPY5R,Gene,Q15761,Q15761
PDE7A,Gene,,
CXCR3,Gene,P49682,P49682
FCGR1A,Gene,P12314,P12314
ADORA2A,Gene,,
RGS12,Gene,O14924,O14924
CX3CL1,Gene,P78423,P78423
CHRM5,Gene,P08912,P08912
HLA-A,Gene,P04439,P04439
GPSM3,Gene,Q9Y4H4,Q9Y4H4
CD44,Gene,P16070,P16070
QRFP,Gene,P83859,P83859
MT2A,Gene,P02795,P02795
KRAS,Gene,P01116-2,P01116-2
KRAS,Gene,P01116-1,P01116-1
FFAR2,Gene,O15552,O15552
RGS8,Gene,P57771,P57771
CX3CR1,Gene,P49238,P49238
CCL4,Gene,P13236,P13236
IRF1,Gene,P10914,P10914
TRIM8,Gene,Q9BZR9,Q9BZR9
HCRTR2,Gene,O43614,O43614
GABBR1,Gene,Q9UBS5,Q9UBS5
RAF1,Gene,P04049,P04049
DGKB,Gene,Q9Y6T7,Q9Y6T7
TAS2R19,Gene,P59542,P59542
IFI30,Gene,P13284,P13284
AXL,Gene,,
KDR,Gene,,
OPRK1,Gene,P41145,P41145
APP,Gene,P05067,P05067
GPER1,Gene,Q99527,Q99527
SMAD7,Gene,O15105,O15105
FPR3,Gene,P25089,P25089
AKT2,Gene,,
HLA-DQA1,Gene,P01909,P01909
CHRM4,Gene,P08173,P08173
PRKCG,Gene,P05129,P05129
GNB1,Gene,P62873,P62873
C3AR1,Gene,Q16581,Q16581
ADCY2,Gene,Q08462,Q08462
ESR1,Gene,,
CAMK2D,Gene,Q13557,Q13557
DGKA,Gene,P23743,P23743
ITPR2,Gene,Q14571,Q14571
ADRA1A,Gene,P35348,P35348
CHRM2,Gene,P08172,P08172
DGKZ,Gene,Q13574,Q13574
C5,Gene,P01031,P01031
GPR39,Gene,O43194,O43194
CCL4L1,Gene,Q8NHW4,Q8NHW4
PLCB2,Gene,Q00722,Q00722
GNB3,Gene,P16520,P16520
AVPR1A,Gene,P37288,P37288
PPP1CA,Gene,P62136,P62136
RGS2,Gene,P41220,P41220
ELANE,Gene,,
GNG2,Gene,P59768,P59768
ATG4B,Gene,,
IRF4,Gene,Q15306,Q15306
PPBP,Gene,P02775,P02775
PIK3CD,Gene,,
BDKRB1,Gene,P46663,P46663
CHRNA7,Gene,,
OPRL1,Gene,P41146,P41146
P2RY13,Gene,Q9BPV8,Q9BPV8
RPS6KA1,Gene,Q15418,Q15418
GNRHR2,Gene,Q96P88,Q96P88
GBP2,Gene,P32456,P32456
TAS2R50,Gene,P59544,P59544
PRKCZ,Gene,,
TAS1R1,Gene,Q7RTX1,Q7RTX1
RGS3,Gene,P49796,P49796
TAC1,Gene,P20366,P20366
GPR37,Gene,O15354,O15354
PPY,Gene,P01298,P01298
IRF7,Gene,Q92985,Q92985
HLA-H,Gene,P01893,P01893
MLN,Gene,P12872,P12872
ADCY7,Gene,P51828,P51828
HLA-DRA,Gene,P01903,P01903
HTR1E,Gene,P28566,P28566
GAL,Gene,P22466,P22466
PIK3CA,Gene,P42336,P42336
BDKRB2,Gene,P30411,P30411
GPR18,Gene,Q14330,Q14330
CXCR1,Gene,P25024,P25024
F2R,Gene,P25116,P25116
CCL27,Gene,Q9Y4X3,Q9Y4X3
SOCS1,Gene,O15524,O15524
CYP11B1,Gene,,
MID1,Gene,O15344,O15344
BRAF,Gene,,
NBEA,Gene,Q8NFP9,Q8NFP9
PIK3R3,Gene,Q92569,Q92569
ABL1,Gene,,
EDN2,Gene,P20800,P20800
