MoleculeType	Identifier	MoleculeName	
Proteins	Q14571	UniProt:Q14571 ITPR2	
Proteins	O43865	UniProt:O43865 AHCYL1	
Proteins	Q05655	UniProt:Q05655 PRKCD	
Proteins	P17252	UniProt:P17252 PRKCA	
Proteins	Q05513	UniProt:Q05513 PRKCZ	
Proteins	P05771	UniProt:P05771 PRKCB	
Proteins	Q9NYA1	UniProt:Q9NYA1 SPHK1	
Proteins	P20936	UniProt:P20936 RASA1	
Proteins	Q9UQB8	UniProt:Q9UQB8 BAIAP2	
Proteins	Q9Y2A7	UniProt:Q9Y2A7 NCKAP1	
Proteins	Q8WUW1	UniProt:Q8WUW1 BRK1	
Proteins	Q92558	UniProt:Q92558 WASF1	
Proteins	Q9UPY6	UniProt:Q9UPY6 WASF3	
Proteins	Q9Y6W5	UniProt:Q9Y6W5 WASF2	
Proteins	Q96F07	UniProt:Q96F07 CYFIP2	
Proteins	Q7L576	UniProt:Q7L576 CYFIP1	
Proteins	Q9NYB9	UniProt:Q9NYB9 ABI2	
Proteins	Q8IZP0	UniProt:Q8IZP0 ABI1	
Proteins	P55160	UniProt:P55160 NCKAP1L	
Proteins	O14786	UniProt:O14786 NRP1	
Proteins	O60462	UniProt:O60462 NRP2	
Proteins	P21741	UniProt:P21741 MDK	
Proteins	Q9UM73	UniProt:Q9UM73 ALK	
Proteins	P21246	UniProt:P21246 PTN	
Proteins	Q6UXT8	UniProt:Q6UXT8 ALKAL1	
Proteins	Q6UX46	UniProt:Q6UX46 ALKAL2	
Proteins	P52333	UniProt:P52333 JAK3	
Proteins	P04198	UniProt:P04198 MYCN	
Proteins	P01106	UniProt:P01106 MYC	
Proteins	P31785	UniProt:P31785 IL2RG	
Proteins	Q96ST3	UniProt:Q96ST3 SIN3A	
Proteins	P26358	UniProt:P26358 DNMT1	
Proteins	Q16665	UniProt:Q16665 HIF1A	
Proteins	O75626	UniProt:O75626 PRDM1	
Proteins	O15379	UniProt:O15379 HDAC3	
Proteins	Q92769	UniProt:Q92769 HDAC2	
Proteins	Q13547	UniProt:Q13547 HDAC1	
Proteins	Q9NZQ7	UniProt:Q9NZQ7 CD274	
Proteins	P23471	UniProt:P23471 PTPRZ1	
Proteins	P29350	UniProt:P29350 PTPN6	
Proteins	P62330	UniProt:P62330 ARF6	
Proteins	P14210	UniProt:P14210 HGF	
Proteins	P08581	UniProt:P08581 MET	
Proteins	Q9NZ52	UniProt:Q9NZ52 GGA3	
Proteins	P61018	UniProt:P61018 RAB4B	
Proteins	P20338	UniProt:P20338 RAB4A	
Proteins	Q96JA1	UniProt:Q96JA1 LRIG1	
Proteins	P18031	UniProt:P18031 PTPN1	
Proteins	P17706	UniProt:P17706 PTPN2	
Proteins	P40818	UniProt:P40818 USP8	
Proteins	O75886	UniProt:O75886 STAM2	
Proteins	Q92783	UniProt:Q92783 STAM	
Proteins	O14964	UniProt:O14964 HGS	
Proteins	P42566	UniProt:P42566 EPS15	
Proteins	Q96B97	UniProt:Q96B97 SH3KBP1	
Proteins	Q99961	UniProt:Q99961 SH3GL1	
Proteins	Q12913	UniProt:Q12913 PTPRJ	
Proteins	Q6VN20	UniProt:Q6VN20 RANBP10	
Proteins	Q8N307	UniProt:Q8N307 MUC20	
Proteins	Q96S59	UniProt:Q96S59 RANBP9	
Proteins	Q04756	UniProt:Q04756 HGFAC	
Proteins	O43278	UniProt:O43278 SPINT1	
Proteins	P05981	UniProt:P05981 HPN	
Proteins	O43291	UniProt:O43291 SPINT2	
Proteins	Q96N67	UniProt:Q96N67 DOCK7	
Proteins	P61224	UniProt:P61224 RAP1B	
Proteins	P08123	UniProt:P08123 COL1A2	
Proteins	P02452	UniProt:P02452 COL1A1	
Proteins	P02461	UniProt:P02461 COL3A1	
Proteins	Q17RW2	UniProt:Q17RW2 COL24A1	
Proteins	P02458	UniProt:P02458 COL2A1	
Proteins	Q8IZC6	UniProt:Q8IZC6 COL27A1	
Proteins	P12107	UniProt:P12107 COL11A1	
Proteins	P13942	UniProt:P13942 COL11A2	
Proteins	P25940	UniProt:P25940 COL5A3	
Proteins	P05997	UniProt:P05997 COL5A2	
Proteins	P20908	UniProt:P20908 COL5A1	
Proteins	P02751	UniProt:P02751 FN1	
Proteins	P24043	UniProt:P24043 LAMA2	
Proteins	P07942	UniProt:P07942 LAMB1	
Proteins	P11047	UniProt:P11047 LAMC1	
Proteins	O15230	UniProt:O15230 LAMA5	
Proteins	Q16787	UniProt:Q16787 LAMA3	
Proteins	Q13753	UniProt:Q13753 LAMC2	
Proteins	Q13751	UniProt:Q13751 LAMB3	
Proteins	P55268	UniProt:P55268 LAMB2	
